task_id,pass_at_1,k_iterations,final_pass,error_type,fix_type,elapsed_sec,tokens_generated,test_count,model_coder,model_tester,model_debugger
HumanEval/0,True,0,True,none,none,9.43,431,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/1,True,0,True,none,none,49.98,842,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/2,True,0,True,none,none,9.81,245,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/3,True,0,True,none,none,42.32,724,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/4,False,3,True,type,type_cast,41.59,156,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/5,False,3,True,logic,condition_fix,20.27,494,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/6,True,0,True,none,none,13.51,502,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/7,False,0,False,runtime,none,15.12,537,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/8,True,0,True,none,none,55.28,783,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/9,True,0,True,none,none,48.16,196,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/10,False,1,True,none,condition_fix,57.39,539,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/11,True,0,True,none,none,55.54,316,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/12,True,0,True,none,none,46.2,868,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/13,True,0,True,none,none,17.75,896,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/14,True,0,True,none,none,29.63,805,6,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/15,False,1,True,type,variable_rename,53.89,560,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/16,True,0,True,none,none,60.05,730,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/17,True,0,True,none,none,36.46,808,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/18,True,0,True,none,none,15.96,724,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/19,False,3,True,runtime,type_cast,28.63,291,10,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/20,True,0,True,none,none,10.69,262,5,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/21,True,0,True,none,none,53.15,582,4,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/22,True,0,True,none,none,41.97,629,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/23,False,1,True,assertion,none,14.53,699,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/24,False,3,True,syntax,boundary_fix,32.78,614,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/25,False,2,True,runtime,condition_fix,36.94,258,7,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/26,False,2,True,type,boundary_fix,51.46,702,3,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
HumanEval/27,True,0,True,none,none,35.85,264,8,deepseek/deepseek-chat,gpt-4o-mini,gpt-4o
